date,open,high,low,close,volume
2020-10-04,10738.2,10950.0,10380.0,10675.16,32641.213192209998
2020-10-11,10678.47,11496.06,10525.0,11340.15,31559.44369997
2020-10-18,11335.17,11731.7,11175.99,11445.35,27376.820905930002
2020-10-25,11445.09,13363.53,11409.94,13048.0,52109.01356669
2020-11-01,13057.2,14100.0,12773.5,13811.94,53968.21899321
2020-11-08,13804.61,15968.98,13220.0,15548.45,72729.22031445
2020-11-15,15538.74,16494.52,14824.66,15917.45,66082.12757611
2020-11-22,15912.01,18977.0,15786.46,18525.81,65978.78837668
2020-11-29,18529.52,19490.0,16218.0,18136.76,70330.34116134
2020-12-06,18130.44,19918.01,18025.27,19118.46,46659.10116385
2020-12-13,19112.13,19431.0,17569.58,19177.37,40529.60814774
2020-12-20,19181.59,24217.38,18979.21,23878.4,71722.43253984
2020-12-27,23878.4,28377.94,21864.86,27009.58,67251.93474576
2021-01-03,26998.78,34800.0,25770.0,32759.78,80036.95363121
2021-01-10,32758.87,42000.0,27734.0,38078.08,121564.09169669001
2021-01-17,38078.08,40112.78,30261.13,35680.0,117744.40347573
2021-01-24,35680.0,37874.71,28800.0,31850.03,72673.93359933
2021-01-31,31859.6,38620.0,29150.49,32487.61,106003.92357516
2021-02-07,32489.13,41025.48,32333.01,38319.25,56148.75284244
2021-02-14,38321.26,49714.66,37778.15,48764.35,65926.60310559
2021-02-21,48780.3,58274.41,45914.75,58192.79,49103.15409568
2021-02-28,58206.59,58354.14,43021.0,43724.75,68351.67161119
2021-03-07,43741.54,52652.82,43500.0,50401.04,36307.16383303
2021-03-14,50409.58,61781.83,49316.98,59914.15,38343.8199535
2021-03-21,59935.87,60748.78,53221.0,57583.82,36473.15992742
2021-03-28,57571.73,58461.78,50360.0,55228.45,34579.45763772
2021-04-04,55217.76,60103.04,54752.7,57969.03,22101.58097713
2021-04-11,57972.69,61222.22,55441.93,59661.24,23452.67913799
2021-04-18,59673.05,64895.22,51541.16,55832.73,39533.3833807
2021-04-25,55828.36,57633.0,47555.0,49414.37,43015.13885168
2021-05-02,49368.83,58549.0,47004.2,56888.61,29208.82129412
2021-05-09,56916.72,59564.24,52924.5,57352.77,29756.17566313
2021-05-16,57345.42,59603.0,44444.0,45550.0,37758.8378304
2021-05-23,45546.72,46648.5,30066.0,33101.38,94560.01243830999
2021-05-30,33132.6,40904.0,33132.6,36102.48,39026.20036008
2021-06-06,36102.48,39490.0,34195.2,35762.58,29383.91466178
2021-06-13,35730.9,38446.24,31025.0,37695.47,38651.06670357
2021-06-20,37700.0,41341.57,33337.0,35512.07,29849.17554216
2021-06-27,35512.11,36125.0,28600.0,32827.86,40349.586017480004
2021-07-04,32808.72,36623.79,32425.77,35572.8,18128.65286464
2021-07-11,35565.98,35960.0,32101.0,33902.61,13744.33211836
2021-07-18,33890.48,34677.0,31012.93,31654.11,13917.40212359
2021-07-25,31625.42,34854.88,29296.39,34379.0,18246.16580796
2021-08-01,34379.0,42614.85,34326.99,41260.0,27951.63185777
2021-08-08,41279.64,45355.0,37300.0,43743.7,27469.5076013
2021-08-15,43746.45,48190.0,42811.26,46366.38,18961.94423622
2021-08-22,46398.22,49833.02,43935.54,48692.21,16543.714666249998
2021-08-29,48678.31,50562.11,46309.33,48830.47,12311.15173475
2021-09-05,48846.64,51050.0,46532.42,50722.13,12271.35509608
2021-09-12,50729.52,52956.47,42900.01,45914.13,19140.12592609
2021-09-19,45897.2,48834.0,43400.0,47391.0,11209.56457212
2021-09-26,47374.04,47670.57,39573.21,43261.11,22323.38137507
2021-10-03,43312.1,49225.55,40750.0,48818.68,14612.69395465
2021-10-10,48841.41,56168.0,46900.0,55503.36,16335.38132188
2021-10-17,55486.91,62944.94,51000.0,60521.65,17234.99711901
2021-10-24,60488.09,67016.5,58933.0,60660.2,21840.1911511
2021-10-31,60632.44,63733.93,56425.0,60730.85,17843.03226572
2021-11-07,60726.59,64300.0,59500.0,62509.57,13476.24605405
2021-11-14,62500.69,69000.0,62200.2,64013.96,14408.70433526
2021-11-21,64025.45,66387.4,55640.0,59514.42,21996.82712657
2021-11-28,59524.85,59745.96,53308.93,54189.09,16417.29898603
2021-12-05,54177.02,59250.0,41967.5,49173.36,28423.968208109996
2021-12-12,49178.07,51991.0,46789.0,50530.23,16734.11345691
2021-12-19,50547.37,50619.39,45478.74,47152.4,13602.44381824
2021-12-26,47116.82,51864.56,45572.94,50404.53,9718.08565464
2022-01-02,50403.76,52098.6,45655.31,47068.62,10853.23604552
2022-01-09,47058.9,47586.58,40517.05,41993.0,14669.51305172
2022-01-16,41986.2,44456.34,39558.7,43088.22,13487.00499485
2022-01-23,43091.86,43518.69,34000.0,34981.42,19646.178546670002
2022-01-30,34954.0,38946.0,32950.72,37848.77,20592.86210782
2022-02-06,37850.11,42232.58,36264.55,41529.67,14022.97169177
2022-02-13,41543.98,45850.0,41527.95,42003.38,13201.05935039
2022-02-20,41978.47,44785.66,37974.18,38423.09,10802.40527968
2022-02-27,38423.09,40330.99,34324.05,38923.63,18047.59862897
2022-03-06,38896.58,45332.38,37015.74,38888.92,15502.45223966
2022-03-13,38900.7,42591.68,37169.52,38883.69,12036.59452369
2022-03-20,38859.3,42405.01,37567.19,41410.0,14845.99706376
2022-03-27,41410.0,45137.12,40516.86,44864.48,11261.48123788
2022-04-03,44864.48,48234.0,44244.0,46425.74,11816.21065858
2022-04-10,46440.01,47458.48,42120.0,43274.32,9885.83521575
2022-04-17,43282.6,43450.72,39218.15,40397.99,9028.50797089
2022-04-24,40399.49,42978.95,38547.12,39712.15,10593.0244371
2022-05-01,39712.05,40800.0,37400.0,37796.4,12199.66159039
2022-05-08,37803.32,40050.19,33710.16,34595.74,15068.10112376
2022-05-15,34587.02,34638.27,25401.05,30430.91,53578.23161957
2022-05-22,30430.93,31411.48,28615.23,29902.45,14577.29756667
2022-05-29,29895.87,30628.0,28003.0,29105.21,11863.03581223
2022-06-05,29087.56,32375.81,29066.13,30043.39,10957.40763987
2022-06-12,30037.19,31737.31,26868.19,27387.23,15331.7519732
2022-06-19,27383.72,27506.62,17592.78,20090.03,56077.30720653
2022-06-26,20104.68,21868.0,19616.1,21277.6,20984.88613384
2022-07-03,21275.99,21516.85,18595.6,19480.6,17638.9324088
2022-07-10,19482.14,22401.0,19032.44,20918.25,15995.38861169
2022-07-17,20910.32,21664.52,18905.55,21030.89,13746.784974549999
2022-07-24,21030.89,24280.3,20751.08,22716.65,19071.70459352
2022-07-31,22696.26,24676.0,20700.13,23837.21,16361.75143145
2022-08-07,23848.21,23901.8,22400.0,23163.32,9022.77351789
2022-08-14,23178.23,25053.0,22668.57,24292.0,10920.97515519
2022-08-21,24300.0,25212.0,20769.0,21516.0,11079.55382087
2022-08-28,21525.0,21892.0,19766.0,19973.0,11247.393314019999
2022-09-04,19973.0,20575.0,19526.0,19881.0,10375.478992280001
2022-09-11,19883.0,21871.0,18540.0,21625.0,13930.52618171
2022-09-18,21624.0,22781.0,19330.0,19722.0,16637.06664438
2022-09-25,19724.0,19902.0,18157.0,18917.0,18435.60361355
2022-10-02,18924.0,20381.0,18461.0,19261.0,16712.64048144
2022-10-09,19275.0,20469.0,18931.0,19468.0,9432.62165259
2022-10-16,19472.0,19947.0,18183.0,19375.0,8209.67292553
2022-10-23,19375.0,19700.0,18660.0,19507.0,8818.35894471
2022-10-30,19505.0,21078.0,19169.0,20655.0,12303.26699037
2022-11-06,20655.0,21473.0,20039.0,21222.0,11165.84109265
2022-11-13,21222.0,21231.0,15632.0,16499.0,39834.43758256
2022-11-20,16498.0,17130.0,15784.0,16562.0,26104.85345582
2022-11-27,16562.0,16783.0,15479.0,16556.0,20010.6666166
2022-12-04,16556.0,17250.0,16004.0,17068.0,18433.62653705
2022-12-11,17071.0,17418.0,16734.0,17200.0,9292.64312212
2022-12-18,17202.0,18373.0,16572.0,16746.0,16312.679563450001
2022-12-25,16746.0,17046.0,16293.0,16779.0,11648.21248411
2023-01-01,16779.0,16961.0,16337.0,16584.0,10087.77193205
2023-01-08,16588.0,17024.0,16552.0,16926.0,8472.06163627
2023-01-15,16926.0,21247.0,16925.0,20819.0,22680.3837387
2023-01-22,20821.0,23362.0,20358.0,22838.0,18840.07982959
2023-01-29,22828.0,23815.0,22314.0,23688.0,12443.17832599
2023-02-05,23687.0,24258.0,22504.0,22854.0,12850.52203222
2023-02-12,22857.0,23439.0,21454.0,21977.0,11727.79674018
2023-02-19,21982.0,25270.0,21376.0,24479.0,15651.97439341
2023-02-26,24479.0,25250.0,22770.0,23479.0,12867.26868252
2023-03-05,23490.0,23990.0,22000.0,22437.0,10260.13416427
2023-03-12,22437.0,22590.0,19569.0,21089.0,18624.18645164
2023-03-19,21084.0,28460.0,21065.0,28347.0,33125.84560947
2023-03-26,28345.0,29380.0,26688.0,27852.0,20267.527117370002
2023-04-02,27852.0,29170.0,26541.0,27966.0,13213.70251264
2023-04-09,27951.0,28782.0,27236.0,28167.0,7791.73877908
2023-04-16,28174.0,31035.0,28117.0,30322.0,12633.90500641
2023-04-23,30338.0,30483.0,27137.0,27471.0,14612.24945521
2023-04-30,27474.0,30022.0,26981.0,29383.0,17890.14917887
2023-05-07,29374.0,29851.0,27666.0,28950.0,13656.62803505
2023-05-14,28957.0,28991.0,25800.0,26891.0,16976.55153579
2023-05-21,26890.0,27666.0,26374.0,26913.0,10721.86572694
2023-05-28,26921.0,27726.0,25878.0,27531.0,9823.66498111
2023-06-04,27531.0,28452.0,26519.0,27223.0,10421.16644753
2023-06-11,27223.0,27451.0,25350.0,26046.0,17575.92962486
2023-06-18,26048.0,26785.0,24756.0,26643.0,13988.52512543
2023-06-25,26643.0,31458.0,26260.0,30443.0,21930.68383044
2023-07-02,30440.0,31268.0,29508.0,30564.0,14570.25482245
2023-07-09,30564.0,31500.0,29722.0,30249.0,9954.57440145
2023-07-16,30249.0,31818.0,29961.0,30260.0,12044.10043115
2023-07-23,30268.0,30414.0,29521.0,30089.0,8994.55313589
2023-07-30,30089.0,30138.0,28842.0,29197.0,9187.54354329
2023-08-06,29190.0,30025.0,28574.0,29051.0,8818.91894927
2023-08-13,29053.0,30210.0,28671.0,29422.0,8027.79485881
2023-08-20,29422.0,29659.0,25601.0,26138.0,13492.30957352
2023-08-27,26137.0,26800.0,25350.0,26115.0,10200.13370454
2023-09-03,26113.0,28142.0,25333.0,26002.0,13876.54211912
2023-09-10,26002.0,26429.0,25386.0,25793.0,7853.705288020001
2023-09-17,25790.0,26878.0,24920.0,26512.0,11492.452259720001
2023-09-24,26512.0,27486.0,26359.0,26458.0,9345.22984562
2023-10-01,26455.0,27297.0,25977.0,27109.0,9521.52089003
2023-10-08,27109.0,28592.0,27044.0,27913.0,10080.45631247
2023-10-15,27911.0,27996.0,26533.0,27044.0,7720.33306194
2023-10-22,27045.0,30364.0,27012.0,29861.0,14396.21910384
2023-10-29,29860.0,35198.0,29730.0,34583.0,19012.56559194
2023-11-05,34587.0,35968.0,34061.0,35050.0,9922.63622982
2023-11-12,35052.0,37978.0,34495.0,37154.0,10506.3617041
2023-11-19,37170.0,37975.0,35002.0,36854.0,10823.056551360001
2023-11-26,36882.0,38437.0,35651.0,37264.0,12005.69994568
2023-12-03,37258.0,39845.0,36727.0,39568.0,10545.77410503
2023-12-10,39560.0,44729.0,39463.0,43831.0,11900.16325667
2023-12-17,43831.0,44038.0,40181.0,42129.0,14168.01385628
2023-12-24,42119.0,44409.0,40513.0,43697.0,11811.23241782
2023-12-31,43697.0,43812.0,41306.0,42639.0,11720.19000937
2024-01-07,42652.0,45922.0,41454.0,44138.0,18165.29887323
2024-01-14,44123.0,49048.0,41509.0,42882.0,23453.71691442
2024-01-21,42886.0,43566.0,40258.0,41666.0,12197.325302570001
2024-01-28,41664.0,42824.0,38505.0,41967.0,16165.34120879
2024-02-04,41963.0,43853.0,41629.0,42779.0,13145.0575734
2024-02-11,42770.0,48601.0,42243.0,48295.0,13825.27251927
2024-02-18,48294.0,52884.0,47720.0,51805.0,13291.88919222
2024-02-25,51814.0,53015.0,50519.0,51566.0,11060.57186625
2024-03-03,51571.0,64000.0,50909.0,62843.0,21267.82338476
2024-03-10,62865.0,70184.0,59313.0,69528.0,26264.91451214
2024-03-17,69529.0,73794.0,64522.0,68526.0,26321.830998
2024-03-24,68505.0,68902.0,60760.0,65846.0,21230.87626343
2024-03-31,65884.0,71754.0,65736.0,71034.0,12667.90843603
2024-04-07,71088.0,71391.0,64511.0,69079.0,13886.682576
2024-04-14,69073.0,72756.0,61308.0,64206.0,17805.89181452
2024-04-21,64219.0,66900.0,59629.0,64554.0,17045.85872484
2024-04-28,64553.0,67241.0,62405.0,63732.0,9920.9239561
2024-05-05,63707.0,64714.0,56500.0,63888.0,14498.700860769999
2024-05-12,63880.0,65513.0,60176.0,61394.0,9169.5814438
2024-05-19,61388.0,67654.0,60758.0,66052.0,11833.88442735
2024-05-26,66032.0,71958.0,66019.0,68868.0,10456.53046308
2024-06-02,68864.0,70601.0,66624.0,67733.0,9559.47127578
2024-06-09,67700.0,71949.0,67548.0,69701.0,12158.82447726
2024-06-16,69713.0,70167.0,64936.0,66500.0,11225.490232350001
2024-06-23,66501.0,67260.0,63356.0,64110.0,10460.26153376
2024-06-30,64121.0,64121.0,58456.0,61940.0,12803.73902582
2024-07-07,61931.0,63794.0,53550.0,57146.0,13117.83036798
2024-07-14,57139.0,60423.0,54296.0,59942.0,14393.063582109999
2024-07-21,59929.0,67727.0,59906.0,67460.0,16606.28809857
2024-07-28,67452.0,69404.0,63424.0,68107.0,13344.12939385
2024-08-04,68108.0,70016.0,57155.0,59240.0,16029.52685907
2024-08-11,59240.0,62729.0,49577.0,59631.0,24301.38101745
2024-08-18,59634.0,61809.0,56138.0,59718.0,18105.22349158
2024-08-25,59717.0,64988.0,57844.0,64220.0,14486.89168283
2024-09-01,64213.0,65103.0,57230.0,58497.0,13882.36144498
2024-09-08,58498.0,59803.0,52546.0,54340.0,11713.35817869
2024-09-15,54340.0,60670.0,54199.0,59130.0,14956.398926509999
2024-09-22,59121.0,64121.0,57488.0,63563.0,13815.053362890001
2024-09-29,63577.0,66508.0,62585.0,65601.0,7972.63036161
2024-10-06,65605.0,65634.0,59860.0,62814.0,11098.87756762
2024-10-13,62831.0,64444.0,58867.0,62849.0,9007.53193602
2024-10-20,62850.0,69363.0,62450.0,69011.0,10349.90826589
2024-10-27,69011.0,69487.0,65000.0,67938.0,11407.62845306
2024-11-03,67937.0,73600.0,67459.0,68738.0,15759.71428164
2024-11-10,68738.0,81482.0,66798.0,80425.0,21950.59964258
2024-11-17,80426.0,93483.0,80280.0,89861.0,33922.58854137
2024-11-24,89865.0,99800.0,89392.0,98007.0,32915.03757667
2024-12-01,98021.0,98966.0,90742.0,97291.0,15555.7691916
2024-12-08,97260.0,103647.0,92092.0,101204.0,22744.7404958
2024-12-15,101188.0,105149.0,94249.0,104427.0,11117.68368574
2024-12-22,104476.0,108364.0,92118.0,95098.0,16082.294756
2024-12-29,95098.0,99881.0,92389.0,93557.0,10331.57302178
2025-01-05,93564.0,96117.0,91315.0,93381.0,2969.87102069
